year,month,day,hour,weekend,holiday,temp,precipitation,wind_speed,preasure,electricity_consumed
2017,1,1,0,1,0,15.85,,5.7,1016.7,1775.69
2017,1,1,1,1,0,15.85,,5.7,1016.7,1565.98
2017,1,1,2,1,0,15.85,,5.7,1016.7,1458.04
2017,1,1,3,1,0,15.85,,5.7,1016.7,1413.88
2017,1,1,4,1,0,15.85,,5.7,1016.7,1441.43
2017,1,1,5,1,0,15.85,,5.7,1016.7,1625.34
2017,1,1,6,1,0,15.85,,5.7,1016.7,2035.28
2017,1,1,7,1,0,15.85,,5.7,1016.7,2574.5
2017,1,1,8,1,0,15.85,,5.7,1016.7,3088.09
2017,1,1,9,1,0,15.85,,5.7,1016.7,3375.27
2017,1,1,10,1,0,15.85,,5.7,1016.7,3532.5
2017,1,1,11,1,0,15.85,,5.7,1016.7,3483.73
2017,1,1,12,1,0,15.85,,5.7,1016.7,3222.06
2017,1,1,13,1,0,15.85,,5.7,1016.7,2794.44
2017,1,1,14,1,0,15.85,,5.7,1016.7,2558.3
2017,1,1,15,1,0,15.85,,5.7,1016.7,2382.38
2017,1,1,16,1,0,15.85,,5.7,1016.7,2305.67
2017,1,1,17,1,0,15.85,,5.7,1016.7,2449.7
2017,1,1,18,1,0,15.85,,5.7,1016.7,2741.97
2017,1,1,19,1,0,15.85,,5.7,1016.7,2712.15
2017,1,1,20,1,0,15.85,,5.7,1016.7,2589.62
2017,1,1,21,1,0,15.85,,5.7,1016.7,2404.25
2017,1,1,22,1,0,15.85,,5.7,1016.7,2155.02
2017,1,1,23,1,0,15.85,,5.7,1016.7,1836.13
2017,1,2,0,0,0,16.5,,3.6,1018.5,1568.5
2017,1,2,1,0,0,16.5,,3.6,1018.5,1460.82
2017,1,2,2,0,0,16.5,,3.6,1018.5,1397.9
2017,1,2,3,0,0,16.5,,3.6,1018.5,1371.03
2017,1,2,4,0,0,16.5,,3.6,1018.5,1436.97
2017,1,2,5,0,0,16.5,,3.6,1018.5,1651.33
2017,1,2,6,0,0,16.5,,3.6,1018.5,2139.82
2017,1,2,7,0,0,16.5,,3.6,1018.5,2865.81
2017,1,2,8,0,0,16.5,,3.6,1018.5,3303.63
2017,1,2,9,0,0,16.5,,3.6,1018.5,3465.32
2017,1,2,10,0,0,16.5,,3.6,1018.5,3593.86
2017,1,2,11,0,0,16.5,,3.6,1018.5,3480.05
2017,1,2,12,0,0,16.5,,3.6,1018.5,3234.65
2017,1,2,13,0,0,16.5,,3.6,1018.5,2850.13
2017,1,2,14,0,0,16.5,,3.6,1018.5,2790.96
2017,1,2,15,0,0,16.5,,3.6,1018.5,2731.7
2017,1,2,16,0,0,16.5,,3.6,1018.5,2684.43
2017,1,2,17,0,0,16.5,,3.6,1018.5,2868.01
2017,1,2,18,0,0,16.5,,3.6,1018.5,3089.67
2017,1,2,19,0,0,16.5,,3.6,1018.5,3021.82
2017,1,2,20,0,0,16.5,,3.6,1018.5,2861.77
2017,1,2,21,0,0,16.5,,3.6,1018.5,2578.77
2017,1,2,22,0,0,16.5,,3.6,1018.5,2294.19
2017,1,2,23,0,0,16.5,,3.6,1018.5,1938.5
2017,1,3,0,0,0,15.9,,5.6,,1613.11
2017,1,3,1,0,0,15.9,,5.6,,1506.26
2017,1,3,2,0,0,15.9,,5.6,,1443.01
2017,1,3,3,0,0,15.9,,5.6,,1411.22
2017,1,3,4,0,0,15.9,,5.6,,1474.33
2017,1,3,5,0,0,15.9,,5.6,,1696.2
2017,1,3,6,0,0,15.9,,5.6,,2220.58
2017,1,3,7,0,0,15.9,,5.6,,2897.38
