year,month,day,hour,weekend,holiday,temp,precipitation,wind_speed,preasure,electricity_consumed,prev_avg_e
2017,1,1,0,1,0,15.85,3.3,5.7,1016.7,1775.69,2396.7258333333334
2017,1,1,1,1,0,15.85,0.8,5.7,1016.7,1565.98,2396.7258333333334
2017,1,1,2,1,0,15.85,2.8,5.7,1016.7,1458.04,2396.7258333333334
2017,1,1,3,1,0,15.85,0.5,5.7,1016.7,1413.88,2396.7258333333334
2017,1,1,4,1,0,15.85,0.8,5.7,1016.7,1441.43,2396.7258333333334
2017,1,1,5,1,0,15.85,4.3,5.7,1016.7,1625.34,2396.7258333333334
2017,1,1,6,1,0,15.85,0.6,5.7,1016.7,2035.28,2396.7258333333334
2017,1,1,7,1,0,15.85,2.1,5.7,1016.7,2574.5,2396.7258333333334
2017,1,1,8,1,0,15.85,1.7,5.7,1016.7,3088.09,2396.7258333333334
2017,1,1,9,1,0,15.85,0.2,5.7,1016.7,3375.27,2396.7258333333334
2017,1,1,10,1,0,15.85,3.9,5.7,1016.7,3532.5,2396.7258333333334
2017,1,1,11,1,0,15.85,2.9,5.7,1016.7,3483.73,2396.7258333333334
2017,1,1,12,1,0,15.85,0.7,5.7,1016.7,3222.06,2396.7258333333334
2017,1,1,13,1,0,15.85,1.6,5.7,1016.7,2794.44,2396.7258333333334
2017,1,1,14,1,0,15.85,1.8,5.7,1016.7,2558.3,2396.7258333333334
2017,1,1,15,1,0,15.85,4.9,5.7,1016.7,2382.38,2396.7258333333334
2017,1,1,16,1,0,15.85,1.5,5.7,1016.7,2305.67,2396.7258333333334
2017,1,1,17,1,0,15.85,3.7,5.7,1016.7,2449.7,2396.7258333333334
2017,1,1,18,1,0,15.85,0.6,5.7,1016.7,2741.97,2396.7258333333334
2017,1,1,19,1,0,15.85,0.6,5.7,1016.7,2712.15,2396.7258333333334
2017,1,1,20,1,0,15.85,4.0,5.7,1016.7,2589.62,2396.7258333333334
2017,1,1,21,1,0,15.85,1.6,5.7,1016.7,2404.25,2396.7258333333334
2017,1,1,22,1,0,15.85,3.5,5.7,1016.7,2155.02,2396.7258333333334
2017,1,1,23,1,0,15.85,3.0,5.7,1016.7,1836.13,2396.7258333333334
2017,1,2,0,0,0,16.5,0.4,3.6,1018.5,1568.5,2396.7258333333334
2017,1,2,1,0,0,16.5,0.8,3.6,1018.5,1460.82,2396.7258333333334
2017,1,2,2,0,0,16.5,0.6,3.6,1018.5,1397.9,2396.7258333333334
2017,1,2,3,0,0,16.5,0.3,3.6,1018.5,1371.03,2396.7258333333334
2017,1,2,4,0,0,16.5,3.5,3.6,1018.5,1436.97,2396.7258333333334
2017,1,2,5,0,0,16.5,4.8,3.6,1018.5,1651.33,2396.7258333333334
2017,1,2,6,0,0,16.5,2.5,3.6,1018.5,2139.82,2396.7258333333334
2017,1,2,7,0,0,16.5,0.7,3.6,1018.5,2865.81,2396.7258333333334
2017,1,2,8,0,0,16.5,4.7,3.6,1018.5,3303.63,2396.7258333333334
2017,1,2,9,0,0,16.5,0.4,3.6,1018.5,3465.32,2396.7258333333334
2017,1,2,10,0,0,16.5,2.9,3.6,1018.5,3593.86,2396.7258333333334
2017,1,2,11,0,0,16.5,2.1,3.6,1018.5,3480.05,2396.7258333333334
2017,1,2,12,0,0,16.5,2.4,3.6,1018.5,3234.65,2396.7258333333334
2017,1,2,13,0,0,16.5,0.1,3.6,1018.5,2850.13,2396.7258333333334
2017,1,2,14,0,0,16.5,2.2,3.6,1018.5,2790.96,2396.7258333333334
2017,1,2,15,0,0,16.5,2.1,3.6,1018.5,2731.7,2396.7258333333334
2017,1,2,16,0,0,16.5,1.4,3.6,1018.5,2684.43,2396.7258333333334
2017,1,2,17,0,0,16.5,0.3,3.6,1018.5,2868.01,2396.7258333333334
2017,1,2,18,0,0,16.5,0.4,3.6,1018.5,3089.67,2396.7258333333334
2017,1,2,19,0,0,16.5,0.3,3.6,1018.5,3021.82,2396.7258333333334
2017,1,2,20,0,0,16.5,2.6,3.6,1018.5,2861.77,2396.7258333333334
2017,1,2,21,0,0,16.5,2.0,3.6,1018.5,2578.77,2396.7258333333334
