Date,Hour,Hourly Demand Met (in MW)
2017-01-01,0,1775.69
2017-01-01,1,1565.98
2017-01-01,2,1458.04
2017-01-01,3,1413.88
2017-01-01,4,1441.43
2017-01-01,5,1625.34
2017-01-01,6,2035.28
2017-01-01,7,2574.5
2017-01-01,8,3088.09
2017-01-01,9,3375.27
2017-01-01,10,3532.5
2017-01-01,11,3483.73
2017-01-01,12,3222.06
2017-01-01,13,2794.44
2017-01-01,14,2558.3
2017-01-01,15,2382.38
2017-01-01,16,2305.67
2017-01-01,17,2449.7
2017-01-01,18,2741.97
2017-01-01,19,2712.15
2017-01-01,20,2589.62
2017-01-01,21,2404.25
2017-01-01,22,2155.02
2017-01-01,23,1836.13
2017-01-02,0,1568.5
2017-01-02,1,1460.82
2017-01-02,2,1397.9
2017-01-02,3,1371.03
2017-01-02,4,1436.97
2017-01-02,5,1651.33
2017-01-02,6,2139.82
2017-01-02,7,2865.81
2017-01-02,8,3303.63
2017-01-02,9,3465.32
2017-01-02,10,3593.86
2017-01-02,11,3480.05
2017-01-02,12,3234.65
2017-01-02,13,2850.13
2017-01-02,14,2790.96
2017-01-02,15,2731.7
2017-01-02,16,2684.43
2017-01-02,17,2868.01
2017-01-02,18,3089.67
2017-01-02,19,3021.82
2017-01-02,20,2861.77
2017-01-02,21,2578.77
2017-01-02,22,2294.19
2017-01-02,23,1938.5
2017-01-03,0,1613.11
2017-01-03,1,1506.26
2017-01-03,2,1443.01
2017-01-03,3,1411.22
2017-01-03,4,1474.33
2017-01-03,5,1696.2
2017-01-03,6,2220.58
2017-01-03,7,2897.38
2017-01-03,8,3352.86
2017-01-03,9,3474.55
2017-01-03,10,3644.92
2017-01-03,11,3543.61
2017-01-03,12,3295.19
2017-01-03,13,2916.6
2017-01-03,14,2821.79
2017-01-03,15,2738.27
2017-01-03,16,2741.72
2017-01-03,17,2939.75
2017-01-03,18,3177.4
2017-01-03,19,3094.92
2017-01-03,20,2904.24
2017-01-03,21,2579.08
2017-01-03,22,2272.73
2017-01-03,23,1936.51
2017-01-04,0,1613.11
2017-01-04,1,1506.26
2017-01-04,2,1443.01
2017-01-04,3,1411.22
2017-01-04,4,1474.33
2017-01-04,5,1696.2
2017-01-04,6,2220.58
2017-01-04,7,2897.38
2017-01-04,8,3352.86
2017-01-04,9,3477.3
2017-01-04,10,3548.45
2017-01-04,11,3552.15
2017-01-04,12,3303.89
2017-01-04,13,2924.41
2017-01-04,14,2822.87
2017-01-04,15,2755.3
2017-01-04,16,2740.4
2017-01-04,17,2917.47
2017-01-04,18,3185
2017-01-04,19,3075.79
2017-01-04,20,2911.49
2017-01-04,21,2622.5
2017-01-04,22,2349.56
2017-01-04,23,1992.67
2017-01-05,0,1685.42
2017-01-05,1,1532.91
2017-01-05,2,1464.64
2017-01-05,3,1431.77
2017-01-05,4,1487.88
2017-01-05,5,1710.39
2017-01-05,6,2220.29
2017-01-05,7,2844.63
2017-01-05,8,3256.44
2017-01-05,9,3389.38
2017-01-05,10,3526.93
2017-01-05,11,3408.42
2017-01-05,12,3155.84
2017-01-05,13,2768.62
2017-01-05,14,2703.09
2017-01-05,15,2681.79
2017-01-05,16,2674.33
2017-01-05,17,2845.2
2017-01-05,18,3082.48
2017-01-05,19,3026.23
2017-01-05,20,2812.79
2017-01-05,21,2534.66
2017-01-05,22,2297.11
2017-01-05,23,1961
2017-01-06,0,1684.79
2017-01-06,1,1534.91
2017-01-06,2,1466.1
2017-01-06,3,1445.14
2017-01-06,4,1510.66
2017-01-06,5,1748.34
2017-01-06,6,2307.54
2017-01-06,7,2947.82
2017-01-06,8,3368.4
2017-01-06,9,3488.6
2017-01-06,10,3681.48
2017-01-06,11,3638.84
2017-01-06,12,3371.41
2017-01-06,13,2988.16
2017-01-06,14,2890.57
2017-01-06,15,2812.79
2017-01-06,16,2828.6
2017-01-06,17,3013.45
2017-01-06,18,3232.67
