date,holiday,holiday_type
2017-01-26,Republic Day,Gazetted
2017-02-24,Maha Shivaratri/Shivaratri,Gazetted
2017-03-13,Holi,Gazetted
2017-04-04,Rama Navami,Gazetted
2017-04-09,Mahavir Jayanti,Gazetted
2017-04-14,Good Friday,Gazetted
2017-05-10,Buddha Purnima/Vesak,Gazetted
2017-06-26,Idu'l Fitr,Gazetted
2017-08-15,Independence Day,Gazetted
2017-08-15,Janmashtarni (Vaishnav),Gazetted
2017-09-02,Id-ul-Zuha(Bakrid),Gazetted
2017-09-30,Dussehra,Gazetted
2017-10-01,Muharram/Ashura,Gazetted
2017-10-02,Mahatma Gandhi Jayanti,Gazetted
2017-10-19,Diwali (Deepavali),Gazetted
2017-11-04,Guru Nanak's Birthday,Gazetted
2017-12-02,Milad-un-Nabi or Id-e- Milad (birthday of Prophet Mohammad),Gazetted
2017-12-25,Christmas Day,Gazetted
