Day,date,holiday,holiday_type
Saturday,2022-01-01,New Year's Day,Restricted Holiday
Sunday,2022-01-09,Guru Govind Singh's Birthday,Restricted Holiday
Thursday,2022-01-13,Lohri,Restricted Holiday
Friday,2022-01-14,Makar Sankranti / Pongal,Restricted Holiday
Wednesday,2022-01-26,Republic Day,Gazetted
Saturday,2022-02-05,Basant Panchami/Sri Panchami,Restricted Holiday
Wednesday,2022-02-16,Guru Ravidas's Birthday,Restricted Holiday
Saturday,2022-02-19,Shivaji Jayanti,Restricted Holiday
Saturday,2022-02-26,Swami Dayananda Saraswati Jayanti,Restricted Holiday
Tuesday,2022-03-01,Maha Shivaratri,Restricted Holiday
Thursday,2022-03-17,Holika Dahana / Hazarat Ali's Birthday,Restricted Holiday
Friday,2022-03-18,Holi,Gazetted
Saturday,2022-04-02,Chaitra Sukladi/Gudi Padava/Ugadi/Cheti Chand,Restricted Holiday
Sunday,2022-04-10,Ram Navami,Gazetted
Thursday,2022-04-14,Mahavir Jayanti,Gazetted
Friday,2022-04-15,Good Friday,Gazetted
Sunday,2022-04-17,Easter Day,Restricted Holiday
Friday,2022-04-29,Jamat Ul-Vida,Restricted Holiday
Tuesday,2022-05-03,Idu'l Fitr,Gazetted
Monday,2022-05-09,Guru Rabindranath's birthday,Restricted Holiday
Monday,2022-05-16,Buddha Purnima,Gazetted
Friday,2022-07-01,Rath Yatra,Restricted Holiday
Sunday,2022-07-10,Id-ul-Zuha(Bakrid),Gazetted
Tuesday,2022-08-09,Muharram,Gazetted
Thursday,2022-08-11,Raksha Bandhan(Rakhi),Restricted Holiday
Monday,2022-08-15,Independence Day,Gazetted
Tuesday,2022-08-16,Parsi New Year's day/Nauraj,Restricted Holiday
Thursday,2022-08-18,Janmashtami (Smarta),Restricted Holiday
Friday,2022-08-19,Janmashtami,Gazetted
Wednesday,2022-08-31,Vinayaka Chaturthi /Ganesh Chaturthi,Restricted Holiday
Thursday,2022-09-08,Onam or Thiru onam day,Restricted Holiday
Sunday,2022-10-02,Mahatma Gandhi Jayanti,Gazetted
Monday,2022-10-03,Dussehra (Maha Ashtami),Restricted Holiday
Tuesday,2022-10-04,Dussehra (Maha Navmi),Restricted Holiday
Wednesday,2022-10-05,Dussehra,Gazetted
Sunday,2022-10-09,Milad-un-Nabi or Id-e-Milad (Birthday of Prophet Mohammad),Gazetted
Thursday,2022-10-13,Karaka Chaturthi (Karva Chouth),Restricted Holiday
Monday,2022-10-24,Diwali (Deepavali) (G) Naraka Chaturdasi (R),Gazetted / Restricted Holiday
Tuesday,2022-10-25,Govardhan Puja,Restricted Holiday
Wednesday,2022-10-26,Bhai Duj,Restricted Holiday
Sunday,2022-10-30,Pratihar Sashthi or Surya Sashthi (Chhat Puja),Restricted Holiday
Tuesday,2022-11-08,Guru Nanak's Birthday,Gazetted
Thursday,2022-11-24,Guru Teg Bahadur's Martyrdom Day,Restricted Holiday
Saturday,2022-12-24,Christmas Eve,Restricted Holiday
Sunday,2022-12-25,Christmas Day,Gazetted
Thursday,2022-12-29,Guru Gobind Singh's Birthday,Restricted Holiday
