day,date,holiday,holiday_type
Sunday,2023-01-01,New Year's Day,Restricted Holiday
Friday,2023-01-13,Lohri,Restricted Holiday
Saturday,2023-01-14,Makar Sankranti / Pongal,Restricted Holiday
Friday,2023-01-20,Guru Govind Singh's Birthday,Restricted Holiday
Thursday,2023-01-26,Republic Day,Gazetted Holiday
Thursday,2023-01-26,Vasant Panchami/Sri Panchami,Restricted Holiday
Sunday,2023-02-05,Guru Ravidas's Birthday,Restricted Holiday
Wednesday,2023-02-15,Swami Dayananda Saraswati Jayanti,Restricted Holiday
Saturday,2023-02-18,Maha Shivaratri,Restricted Holiday
Sunday,2023-02-19,Shivaji Jayanti,Restricted Holiday
Thursday,2023-03-07,Holika Dahana,Restricted Holiday
Wednesday,2023-03-08,Holi,Gazetted Holiday
Thursday,2023-03-30,Ram Navami,Gazetted Holiday
Tuesday,2023-04-04,Mahavir Jayanti,Gazetted Holiday
Friday,2023-04-07,Good Friday,Gazetted Holiday
Sunday,2023-04-09,Easter Day,Restricted Holiday
Friday,2023-04-21,Jamat Ul-Vida,Restricted Holiday
Sunday,2023-04-23,Idu'l Fitr,Gazetted Holiday
Friday,2023-05-05,Buddha Purnima,Gazetted Holiday
Tuesday,2023-05-09,Guru Rabindranath's birthday,Restricted Holiday
Tuesday,2023-06-20,Rath Yatra,Restricted Holiday
Thursday,2023-06-29,Id-ul-Zuha(Bakrid),Gazetted Holiday
Saturday,2023-07-29,Muharram,Gazetted Holiday
Tuesday,2023-08-15,Independence Day,Gazetted Holiday
Wednesday,2023-08-16,Parsi New Year's day,Restricted Holiday
Thursday,2023-08-31,Raksha Bandhan(Rakhi),Restricted Holiday
Thursday,2023-09-07,Janmashtami,Gazetted Holiday
Tuesday,2023-09-19,Vinayaka Chaturthi /Ganesh Chaturthi,Restricted Holiday
Monday,2023-08-28,Onam or Thiru onam day,Restricted Holiday
Monday,2023-10-02,Mahatma Gandhi Jayanti,Gazetted Holiday
Sunday,2023-10-22,Dussehra (Maha Ashtami),Restricted Holiday
Monday,2023-10-23,Dussehra (Maha Navmi),Restricted Holiday
Tuesday,2023-10-24,Dussehra,Gazetted Holiday
Wednesday,2023-10-27,Milad-un-Nabi or Id-e-Milad (Birthday of Prophet Mohammad),Gazetted Holiday
Tuesday,2023-10-31,Karaka Chaturthi (Karva Chouth),Restricted Holiday
Sunday,2023-11-12,Diwali (Deepavali),Gazetted Holiday
Monday,2023-11-13,Govardhan Puja,Restricted Holiday
Tuesday,2023-11-14,Bhai Duj,Restricted Holiday
Sunday,2023-11-19,Pratihar Sashthi or Surya Sashthi (Chhat Puja),Restricted Holiday
Monday,2023-11-27,Guru Nanak's Birthday,Gazetted Holiday
Sunday,2023-12-17,Guru Teg Bahadur's Martyrdom Day,Restricted Holiday
Sunday,2023-12-24,Christmas Eve,Restricted Holiday
Monday,2023-12-25,Christmas Day,Gazetted Holiday
