date,holiday,holiday_type
2017-01-26,Republic Day,Gazetted
2017-02-24,Maha Shivaratri/Shivaratri,Restricted
2017-03-13,Holi,Gazetted
2017-04-04,Rama Navami,Gazetted
2017-04-09,Mahavir Jayanti,Gazetted
2017-04-14,Good Friday,Gazetted
2017-05-10,Buddha Purnima/Vesak,Gazetted
2017-06-26,Idu'l Fitr,Gazetted
2017-08-15,Independence Day,Gazetted
2017-08-15,Janmashtarni (Vaishnav),Gazetted
2017-09-02,Id-ul-Zuha(Bakrid),Gazetted
2017-09-30,Dussehra,Gazetted
2017-10-01,Muharram/Ashura,Gazetted
2017-10-02,Mahatma Gandhi Jayanti,Gazetted
2017-10-19,Diwali (Deepavali),Gazetted
2017-11-04,Guru Nanak's Birthday,Gazetted
2017-12-02,Milad-un-Nabi or Id-e- Milad (birthday of Prophet Mohammad),Gazetted
2017-12-25,Christmas Day,Gazetted
2018-01-01,New Year's Day (R),Restricted
2018-01-14,Makar Sankranti (R),Restricted
2018-01-22,Basant Panchami / Sri Panchami (R),Restricted
2018-01-26,Republic Day,Gazetted
2018-01-31,Guru Ravidas's Birthday (R),Restricted
2018-02-10,Swami Dayananda Saraswati Jayanti (R),Restricted
2018-02-14,Maha Shivaratri,Restricted
2018-02-19,Shivaji Jayanti (R),Restricted
2018-03-01,Holika Dahan/Dolyatra (R),Restricted
2018-03-02,Holi,Gazetted
2018-03-18,Chaitra Sukladi/Gudi Padava/Ugadi/Cheti Chand (R),Restricted
2018-03-25,Ram Navami (R),Restricted
2018-03-29,Mahavir Jayanti,Gazetted
2018-03-30,Good Friday,Gazetted
2018-04-01,Easter Sunday (R),Restricted
2018-04-14,Vaisakhi/Vishu/Mesadi (R),Restricted
2018-04-15,Vaisakhadi(Bengal)/Bahag Bihu (Assam) (R),Restricted
2018-04-30,Buddha Purnima,Gazetted
2018-05-09,Guru Rabindranath's Birthday (R),Restricted
2018-06-15,Jamat-Ul-Vida (R),Restricted
2018-06-16,Idu'l Fitr,Gazetted
2018-07-14,Rath Yatra (R),Restricted
2018-08-15,Independence day,Gazetted
2018-08-17,Parsi New Year's day/Nauraj (R),Restricted
2018-08-22,Id-ul-Zuha (Bakrid),Gazetted
2018-08-25,Onam or Thiru Onam Day (R),Restricted
2018-08-26,Raksha Bandhan (R),Restricted
2018-09-03,Janmashtami,Gazetted
2018-09-13,Vinayaka Chaturthi/Ganesh Chaturthi (R),Restricted
2018-09-21,Muharram,Gazetted
2018-10-02,Mahatma Gandhi's Birthday,Gazetted
2018-10-16,Dussehra (Maha Saptami) (Additional) (R),Restricted
2018-10-17,Dussehra (Maha Ashtami) (Additional) (R),Restricted
2018-10-18,Dussehra (Maha Navmi) (R),Restricted
2018-10-19,Dussehra,Gazetted
2018-10-24,Maharishi Valmiki's Birthday (R),Restricted
2018-10-27,Karaka Chaturthi (Karva Chouth) (R),Restricted
2018-11-06,Deepavali (South India) (R),Restricted
2018-11-07,Diwali (Deepavali),Gazetted
2018-11-08,Govardhan Puja (R),Restricted
2018-11-09,Bhai Duj (R),Restricted
2018-11-13,Pratihar Sashthi or Surya Sashthi (Chhat Puja) (R),Restricted
2018-11-21,Milad-un-Nabi or Id-e-Milad (Birthday of Prophet Mohammad),Gazetted
2018-11-23,Gur'u Nanak's Birthday,Gazetted
2018-11-24,Guru Teg Bahadur's Martyrdom Day (R),Restricted
2018-12-24,Christmas Eve (R),Restricted
2018-12-25,Christmas Day,Gazetted
2019-01-01,New Year's Day (R),Restricted
2019-01-13,Guru Gobind Singh's Birthday (R),Restricted
2019-01-14,Makar Sankranti (R),Restricted
2019-01-15,Pongal (R),Restricted
2019-01-26,Republic Day,Gazetted
2019-02-10,Basant Panchami / Sri Panchami (R),Restricted
2019-02-19,Guru Ravidas's Birthday (R),Restricted
2019-03-01,Swami Dayananda Saraswati Jayanti (R),Restricted
2019-03-04,Maha Shivaratri,Gazetted
2019-03-20,Holika Dahan (R),Restricted
2019-03-21,Dolyatra (R),Restricted
2019-04-06,Chaitra Sukladi/ Gudi Padava/ Ugadi/ Cheti Chand (R),Restricted
2019-04-13,Ram Navami (Smarta) (R),Restricted
2019-04-14,Vaisakhi/ Vishu/ Mesadi (R),Restricted
2019-04-15,Vaisakhadi (Bengal)/ Bahag Bihu (Assam) (R),Restricted
2019-04-17,Mahavir Jayanti,Gazetted
2019-04-19,Good Friday,Gazetted
2019-04-21,Easter Sunday (R),Restricted
2019-05-09,Guru Rabindranath's Birthday (R),Restricted
2019-05-18,Buddha Purnima,Gazetted
2019-05-31,Jamat-Ul-Vida (R),Restricted
2019-06-05,Id-ul- Fitr,Gazetted
2019-07-04,Rath Yatra (R),Restricted
2019-08-12,Id-ul-Zuha (Bakrid),Gazetted
2019-08-15,Raksha Bandhan (R),Restricted
2019-08-17,Parsi New Year's day/ Nauraj (R),Restricted
2019-08-24,Janmashtami,Gazetted
2019-09-02,Vinayaka Chaturthi/ Ganesh Chaturthi (R),Restricted
2019-09-10,Muharram,Gazetted
2019-09-11,Onam or Thiru Onam Day (R),Restricted
2019-10-02,Mahatma Gandhi's Birthday,Gazetted
2019-10-05,Dussehra (Maha Saptami) (Additional) (R),Restricted
2019-10-06,Dussehra (Maha Ashtami) (Additional) (R),Restricted
2019-10-07,Dussehra (Maha Navmi) (R),Restricted
2019-10-08,Dussehra,Gazetted
2019-10-13,Maharishi Valmiki's Birthday (R),Restricted
2019-10-17,Karaka Chaturthi (Karva Chouth) (R),Restricted
2019-10-27,Naraka Chaturdasi (R),Restricted
2019-10-28,Govardhan Puja (R),Restricted
2019-10-29,Bhai Duj (R),Restricted
2019-11-02,Pratihar Sashthi or Surya Sashthi (Chhat Puja) (R),Restricted
2019-11-10,Milad-un-Nabi or Id-e-Milad (Birthday of Prophet Mohammad),Gazetted
2019-11-12,Guru Nanak's Birthday,Gazetted
2019-11-24,Guru Teg Bahadur's Martyrdom Day (R),Restricted
2019-12-24,Christmas Eve (R),Restricted
2019-12-25,Christmas Day,Gazetted
2020-01-01,New Year's Day (R),Restricted
2020-01-02,Guru Gobind Singh's Birthday (R),Restricted
2020-01-13,Lohri (R),Restricted
2020-01-15,Makar Sankranti/Pongal (R),Restricted
2020-01-26,Republic Day,Gazetted
2020-01-30,Basant Panchami / Sri Panchami (R),Restricted
2020-02-09,Guru Ravidas's Birthday (R),Restricted
2020-02-18,Swami Dayananda Saraswati Jayanti (R),Restricted
2020-02-19,Shivaji Jayanti (R),Restricted
2020-02-21,Maha Shivaratri (R),Restricted
2020-03-09,Holika Dahan/Dolyatra/Hazarat Ali's Birthday (R),Restricted
2020-03-10,Holi,Gazetted
2020-03-25,Chaitra Sukladi/Gudi Padava/Ugadi/Cheti Chand (R),Restricted
2020-04-02,Ram Navami,Gazetted
2020-04-06,Mahavir Jayanti,Gazetted
2020-04-10,Good Friday,Gazetted
2020-04-12,Easter Sunday (R),Restricted
2020-04-13,Vaisakhi/Vishu (R),Restricted
