date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2017-01-01,16.1,10.3,23.6,,,,5.7,,1016.7,
2017-01-02,15.6,10.5,23.6,,,,3.6,,1018.5,
2017-01-03,15.1,10,22,,,,5.6,,,
2017-01-04,17.3,10.1,24.6,,,,4.3,,1016,
2017-01-05,17.9,12,25,,,,4.3,,1014.3,
2017-01-06,18.3,13.6,25.1,,,121,10.5,,1012.2,
2017-01-07,13.8,13,16,2,,122,12.3,,1011.6,
2017-01-08,15,11.4,21,0.3,,67,6.5,,1015,
2017-01-09,12.6,9.6,20.2,0,,,6,,1015.8,
2017-01-10,10.8,5.9,18.3,,,272,9.2,,1016.6,
2017-01-11,10.4,5.8,18.2,,,,8.1,,1016.8,
2017-01-12,11,4.4,18,,,,6.7,,1016.6,
2017-01-13,11.8,5.3,19.8,,,,3.9,,1017.5,
2017-01-14,12.8,4.6,19.5,,,,5.8,,1018.7,
2017-01-15,16.3,9,24,,,,4.9,,1018,
2017-01-16,12.3,9.4,18.8,,,,12.7,,1017,
2017-01-17,9.6,5,18.8,,,288,9.5,,1018.6,
2017-01-18,11.3,4.4,19.2,,,295,7,,,
2017-01-19,11.9,6,20.8,,,278,10.2,,1022.9,
2017-01-20,11.3,6,19.8,,,268,8.9,,1022,
2017-01-21,13.1,5,19.8,,,264,6.3,,,
2017-01-22,15.8,9,24.1,,,,5,,1021.4,
2017-01-23,15.9,9,24.1,,,,5.7,,1020,
2017-01-24,17.9,9.9,26.2,,,,3.9,,,
2017-01-25,19.9,13.9,26,,,,9.6,,,
2017-01-26,15.9,14,26,5.1,,66,10.2,,1017.8,
2017-01-27,13.6,12,19,35.1,,271,10.5,,1018.1,
2017-01-28,13.1,10,18.6,0,,270,9.6,,1019.9,
2017-01-29,14.9,11,21,,,268,10.3,,,
2017-01-30,14.9,10.6,21.8,,,,4.2,,1016,
2017-01-31,16.7,10,23.3,,,,6.6,,1015.5,
2017-02-01,14.9,10,22.2,,,,5.5,,,
2017-02-02,16.3,9.4,24.2,,,,3.7,,,
2017-02-03,17.4,10.9,24.8,,,,3.4,,1018,
2017-02-04,18.7,14,24.5,,,114,12.7,,1014.9,
2017-02-05,18.5,16,24.1,,,,9.7,,1013.8,
2017-02-06,16.2,13,23.8,,,,8.4,,1016.1,
2017-02-07,14.6,8,22,,,286,10.3,,1016.4,
2017-02-08,16.3,9,23.6,,,,7.3,,1015.3,
2017-02-09,15.2,10,23.6,,,,8,,1016.5,
2017-02-10,15.1,8,22,,,273,8.7,,1016,
2017-02-11,15.9,8,24.2,,,,5,,1016.5,
2017-02-12,16.8,9.6,25.2,,,,4.4,,1019.7,
2017-02-13,16.6,9,23.2,,,,7.3,,,
2017-02-14,16.7,9,25.2,,,,7.7,,1021.6,
2017-02-15,18.6,11,27,,,,6.7,,1021,
2017-02-16,19.8,12,26.6,,,272,9,,1018.5,
2017-02-17,19.4,15,29.5,,,267,10.7,,,
2017-02-18,21.5,14,30.2,,,,6.6,,1017.4,
2017-02-19,23.2,15,31,,,,3.6,,1014,
2017-02-20,24.4,18.2,32.2,,,,7.7,,1006.8,
2017-02-21,19.8,15,26.1,,,272,10.6,,1008,
2017-02-22,19.9,13.1,28.2,,,,7.7,,1012.1,
2017-02-23,18.6,11,28.2,,,291,11.8,,1014.7,
2017-02-24,17.6,9,26.1,,,283,14.5,,1016.4,
2017-02-25,18.9,10,28,,,278,12.8,,1014.9,
2017-02-26,18.8,11,28,,,266,10,,1013.1,
2017-02-27,21.2,11,29.2,,,,6.9,,1014.5,
2017-02-28,23.7,13.5,33,,,,4.1,,1014.2,
2017-03-01,24.3,18.4,31.6,,,,7.7,,,
2017-03-02,21.9,16,28.6,,,283,7.6,,1012.5,
2017-03-03,20.4,13.6,28.6,,,306,9.2,,1011.5,
2017-03-04,19.1,11.6,27.2,,,282,8.8,,1010.5,
2017-03-05,19.3,11,28,,,277,11.2,,1011.2,
2017-03-06,20.7,11,28.6,,,,7.8,,1011,
2017-03-07,22.2,13,31.4,,,,5.8,,1009.4,
2017-03-08,21.6,18.6,28.1,0,,42,13,,1009,
2017-03-09,18.9,15,29.4,,,86,12.3,,1008.4,
2017-03-10,17.4,15,27.2,,,129,11.9,,1007.4,
2017-03-11,17.6,11.5,27.2,3,,351,9.6,,1010.3,
2017-03-12,17.7,10.5,24,9.9,,316,9.7,,1014.6,
2017-03-13,17.4,10,25,0,,305,7.8,,1014.9,
2017-03-14,19.1,10.4,26.2,,,,4.4,,1016.4,
2017-03-15,20.6,12,29.2,,,,6.7,,1015,
2017-03-16,22.5,15,30.2,,,,6.8,,1012.1,
2017-03-17,20.9,13,29.6,,,287,10.5,,,
2017-03-18,22.9,14,30.4,,,299,7.6,,1010.8,
2017-03-19,23.1,16.8,30.8,,,,8.6,,1012,
2017-03-20,22.4,16,31.4,,,,8.7,,1013,
2017-03-21,25.9,16.4,34.4,,,,7.4,,1012.7,
2017-03-22,27.8,18.6,36.4,,,,7.6,,1011.2,
2017-03-23,29.2,19.6,38.2,,,,5.5,,1010.1,
2017-03-24,27.9,22,35.4,,,308,10.1,,,
2017-03-25,26.5,17,34.7,,,294,11.3,,1010.9,
2017-03-26,27.5,18,36.2,,,281,11.4,,1011.6,
2017-03-27,28.6,19,37.8,,,287,11.8,,,
2017-03-28,29.9,21.4,39,,,284,9.8,,1009.9,
2017-03-29,31.6,22.2,39.6,,,286,10.7,,,
2017-03-30,30.9,22,39.4,,,295,12,,,
2017-03-31,31.3,22.1,40.2,,,289,8.3,,1009,
2017-04-01,32.2,22.8,40.6,,,,8.7,,,
2017-04-02,31.5,23,39.3,,,288,11.7,,1005.7,
2017-04-03,32.2,22,40,,,300,8.3,,1006.1,
2017-04-04,29.8,24.2,40.6,,,355,10.3,,,
2017-04-05,27.8,21.6,34.5,,,106,15.5,,,
2017-04-06,30.6,23.2,39.8,,,185,15.3,,,
2017-04-07,28.6,23.2,35.6,,,,7.4,,1008.1,
2017-04-08,27.2,17.4,35.6,,,,8,,1011,
